product_id,product_name,price,stock,category_id
42,CrunchyOats Granola,263.32,9,2
68,GlamourGlow Evening Gown,444.23,82,3
28,BeanBlend Three-Bean Chili,262.16,99,2
30,AlmondEaze Almond Milk,496.06,0,2
73,EcoChic Organic Cotton Tee,280.02,90,3
89,TrailTrek Hiking Shorts,398.61,4,3
111,ShakespeareanSonnet Poster,161.18,43,4
76,SmartStyle Business Suit,106.42,81,3
52,MustardMagic Dijon Mustard,338.55,43,2
98,WhisperingPages E-Reader,388.38,74,4
91,LiteraryGems Book Set,357.13,11,4
118,BookishElegance Book Cover,100.72,54,4
84,SnowHike Snow Boots,319.13,88,3
110,ReadersDelight Bookstand,307.99,60,4
112,BookishQuotes Wall Decals,122.75,15,4
13,AeroGlide Drone,482.68,34,1
35,PopCraze Popcorn,92.22,6,2
114,ChapterVerse Bookmarks,259.02,97,4
93,NovelNavigator Bookshelf,228.58,91,4
104,BookishCharm Bracelet,474.04,63,4
96,Storyteller's Dream Pen,206.64,61,4
77,RunReady Sports Bra,363.84,85,3
31,CreamyDelight Greek Yogurt,197.27,10,2
41,MorningFuel Cereal Bars,458.7,33,2
